Timestamp,Interface,kbps_In,kbps_Out,Total_MB_In,Total_MB_Out
2026-04-04 09:50:24,ether5-LAN,22.6,725.09,355.65,1754.75
2026-04-04 09:50:25,ether1-Starlink,4894.37,21.2,1165.81,281.56
2026-04-04 09:50:25,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:25,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:25,ether5-LAN,18.92,4961.42,355.65,1755.4
2026-04-04 09:50:26,ether1-Starlink,2139.11,50.14,1166.08,281.57
2026-04-04 09:50:26,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:26,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:26,ether5-LAN,62.1,2208.83,355.66,1755.68
2026-04-04 09:50:27,ether1-Starlink,376.06,173.0,1166.12,281.59
2026-04-04 09:50:27,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:27,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:27,ether5-LAN,183.85,467.45,355.68,1755.74
2026-04-04 09:50:28,ether1-Starlink,4.98,7.02,1166.12,281.59
2026-04-04 09:50:28,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:28,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:28,ether5-LAN,14.36,98.15,355.69,1755.75
2026-04-04 09:50:29,ether1-Starlink,5.14,3.13,1166.13,281.59
2026-04-04 09:50:29,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:29,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:29,ether5-LAN,11.2,89.13,355.69,1755.76
2026-04-04 09:50:31,ether1-Starlink,0.54,0.89,1166.13,281.59
2026-04-04 09:50:31,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:31,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:31,ether5-LAN,10.64,103.71,355.69,1755.77
2026-04-04 09:50:32,ether1-Starlink,1.57,1.56,1166.13,281.59
2026-04-04 09:50:32,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:32,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:32,ether5-LAN,9.53,91.05,355.69,1755.78
2026-04-04 09:50:33,ether1-Starlink,263.99,88.69,1166.16,281.6
2026-04-04 09:50:33,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:33,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:33,ether5-LAN,97.68,312.03,355.7,1755.82
2026-04-04 09:50:34,ether1-Starlink,15.12,16.51,1166.16,281.61
2026-04-04 09:50:34,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:34,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:34,ether5-LAN,38.76,263.14,355.71,1755.86
2026-04-04 09:50:35,ether1-Starlink,1.01,1.04,1166.16,281.61
2026-04-04 09:50:35,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:35,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:35,ether5-LAN,9.35,94.7,355.71,1755.87
2026-04-04 09:50:36,ether1-Starlink,1.46,1.8,1166.16,281.61
2026-04-04 09:50:36,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:36,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:36,ether5-LAN,12.98,106.49,355.71,1755.88
2026-04-04 09:50:37,ether1-Starlink,1.9,1.4,1166.16,281.61
2026-04-04 09:50:37,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:37,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:37,ether5-LAN,9.55,87.61,355.71,1755.89
2026-04-04 09:50:38,ether1-Starlink,0.51,1.88,1166.16,281.61
2026-04-04 09:50:38,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:38,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:38,ether5-LAN,11.11,105.05,355.71,1755.91
2026-04-04 09:50:39,ether1-Starlink,0.53,0.88,1166.16,281.61
2026-04-04 09:50:39,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:39,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:39,ether5-LAN,10.93,98.35,355.71,1755.92
2026-04-04 09:50:40,ether1-Starlink,1.45,1.85,1166.16,281.61
2026-04-04 09:50:40,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:40,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:40,ether5-LAN,6.85,36.27,355.71,1755.92
2026-04-04 09:50:41,ether1-Starlink,0.52,0.52,1166.16,281.61
2026-04-04 09:50:41,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:41,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:41,ether5-LAN,11.43,93.37,355.72,1755.93
2026-04-04 09:50:42,ether1-Starlink,1.11,1.12,1166.16,281.61
2026-04-04 09:50:42,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:42,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:42,ether5-LAN,11.22,99.19,355.72,1755.95
2026-04-04 09:50:43,ether1-Starlink,3.32,3.55,1166.16,281.61
2026-04-04 09:50:43,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:43,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:43,ether5-LAN,12.49,91.5,355.72,1755.96
2026-04-04 09:50:44,ether1-Starlink,0.96,1.14,1166.16,281.61
2026-04-04 09:50:44,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:44,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:44,ether5-LAN,10.8,97.27,355.72,1755.97
2026-04-04 09:50:45,ether1-Starlink,2.17,2.21,1166.16,281.61
2026-04-04 09:50:45,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:45,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:45,ether5-LAN,9.94,88.65,355.72,1755.98
2026-04-04 09:50:46,ether1-Starlink,3.65,3.76,1166.16,281.61
2026-04-04 09:50:46,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:46,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:46,ether5-LAN,17.05,165.55,355.72,1756.0
2026-04-04 09:50:47,ether1-Starlink,2.11,1.99,1166.16,281.61
2026-04-04 09:50:47,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:47,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:47,ether5-LAN,5.41,19.88,355.72,1756.0
2026-04-04 09:50:48,ether1-Starlink,1.06,2.52,1166.16,281.61
2026-04-04 09:50:48,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:48,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:48,ether5-LAN,13.13,104.17,355.73,1756.02
2026-04-04 09:50:49,ether1-Starlink,1.06,1.44,1166.16,281.61
2026-04-04 09:50:49,ether2-VSAT,0.0,0.0,0.0,0.0
2026-04-04 09:50:49,ether3-LTE,0.0,0.0,0.0,0.0
2026-04-04 09:50:49,ether5-LAN,9.28,89.88,355.73,1756.03
2026-04-04 09:50:50,ether1-Starlink,0.51,0.85,1166.16,281.61
